,id,text
248633,1256765076952027139,NUVOLA NERA Freddo Pandemia Griglie di paura Senza apertura Mondo è casa mia Tutto è solitudine Fantasmi in città Aspette tutte salvato Un saggio ispirato Porta la libertà #poesiasdeamor #poesiaintweet #stayhome #amore #poesiaevita
248634,1256766088207106049,"condivido il pensiero dei Blu L'azard: ieri era la giornata dedicata al genocidio armeno, oggi 25 aprile, giorno della liberazione. #restiamoumani per non abituarci all'ingiustizia, #distantimauniti, accalcati nelle città o sperduti sulle montagne non im… "
248635,1256766455594582017,“Alla famiglia di Norveo l’abbraccio virtuale di un’intera città” Viterbo - (http://sil.co.) - Oggi è un anno dal barbaro http://www.tusciaweb.eu/?p=669940 ...
248636,1256767218198745088,#cfr #toscana http://www.cfr.toscana.it/ PLUVIOMETRIA #FIRENZE #CITTA 
248637,1256771628186435584,"Al parco non si usa la mascherina, solo in luoghi chiusi. Da domani tutti teoricamente liberi di andare al parco o dovunque, a distanza e senza sostare sulle panchine o nei prati, liberi di passeggiare in citta'. Fatevene una ragione e smettetela di fare gli ipocondriaci."
248638,1256772525696131072,"Una città intera senza bagni pubblici, quindi."
248639,1256775512921387008,Adesso in onda Massimo Ranieri - Se bruciasse la città 
248640,1256776589465071617,"Vedevo tornare i codici feroci, gli dèi implacabili, il dispotismo incontestato dei principi barbari, il mondo frantumato in Stati nemici, eternamente in preda al terrore. Altre sentinelle, minacciate da altri dardi, andranno su e giù di ronda nelle città future;"
248641,1256778537559883776,Irene Grandi - Bruci la città
248642,1256780570690011136,"Su come, cosa e quando aprire dovrebbero farlo i Comuni assieme alle Province perché ogni città è diversa dall'altra, per non parlare dei piccoli paesini. Ogni città ha le proprie esigenze. Ogni città ha le proprie problematiche."
248643,1256780759228198920,"Su come, cosa e quando aprire dovrebbero farlo i Comuni assieme alle Province perché ogni città è diversa dall'altra, per non parlare dei piccoli paesini. Ogni città ha le proprie esigenze. Ogni città ha le proprie problematiche."
248644,1256782084284309506,"La città fantasma, è stupenda"
248645,1256782155147104256,Il Covid-19 ha colpito invano? Scopri il nuovo numero di Città Nuova - Città Nuova 
248646,1256784684387840001,"Fase 2: le città riaprono il 4 maggio, ecco cosa cambia "
248647,1256784942350172167,A fare un giro a Game Happens. Vedere così tanta innovazione e cultura nello stesso posto mi apre il cuore :) Complimenti agli organizzatori per portare come sempre il futuro in città! https://ift.tt/2L6EYxT https://ift.tt/2WjX3xB
248648,1256784951082704897,"La carrellata di città che adottano il filobus racconta più verità di tutto il resto. Prepariamoci a stare in compagnia delle migliori pratiche della Costa D'Avorio e Kazakistan. C'è solo una soluzione che fa al caso nostro sulle linee di forza, persino… https://ift.tt/3aRtoRy"
248649,1256789753837555714,"Città dormienti. Non è l’inno di Mameli che ci accomuna, ma il suono delle aspirapolvere da ogni casa. Questa quarantena ha messo a dura polvere anche l’impero degli acari e della polvere. #6giorno"
248650,1256790914133000195,Cinque percorsi alla scoperta del sottosuolo di #Napoli Tra le tantissime cose da vedere nella nostra bellissima città c'è pure il sottosuolo di Napoli. Sotto 
248651,1256793514647715841,"Io: Che bello questo posto, da quanto siete aperti? Cameriera: 13 anni. Ok, devo frequentare di più questa parte della città Per chi ha piacere di bere in compagnia e fare due chiacchiere, un pezzettino di Volt Genova è qui :)"
248652,1256796655086718977,Noi di Città Studi ricordiamo tutto.
248653,1256797232365527040,la città al risveglio https://www.instagram.com/p/B_tjEbVqOvz/?igshid=a5vdukr8bpkw
248654,1256797697694023680,il risveglio della città https://www.instagram.com/p/B_tjRtmqSjQ/?igshid=v0rjnsm6l7t0
248655,1256798140868562949,E' iniziato Pingu in città su #cartoonito Clicca qui per classifica tweet: http://linka.tv/social_tv/index.jsp?prov=twitter
248656,1256798964952768512,Kabul : Più fumava e più divorava la città
248657,1256799964891578368,"Probabilmente non è possibile ma, vista l'enorme difficoltà che ci sarà a spostarsi in città, non si potrebbe calmierare il costo dei taxi e servizi simili per renderli più accessibili?"
248658,1256802395918675968,È scandaloso far passare questo tipo di messaggio ....la cara @virginiaraggi al posto di fare la brava e umile cameriera di Gonte dovrebbe star concentrata sulla città che amministra che di problemi ne ha milioni e cercare di risolverli.
248659,1256803639051591680,"Città di Enna, #andratuttobene buongiorno da https://www.ennatrasporti.it"
248660,1256803998671073283,Citta del sole／Q-Mex／KM(FULL)
248661,1256805818651103232,"Buongiorno #Bergamo. Giornata soleggiata, con nuvole sparse e ampi rasserenamenti, quella di oggi in città. Temperatura massima intorno a 21°, la minima a 11°. Buona domenica a tutti voi. "
248662,1256805863941197826,"Una città silenziosa, senza traffico, né monnezza: per Virgy questa è una pacchia"
248663,1256806959329746945,"Buongiorno da @LuceverdeRoma, notizie su #traffico #cantieri #manifestazioni nella città di #Roma http://roma.luceverde.it/ #luceverde"
248664,1256807787218243590,#Cantidellaripartenza Ho sognato che hanno dato il Nobel a Vasco Rossi per le candide carezze di Sally E subito la città è stata svegliata dai clacson festosi
248665,1256809181228797952,MASSIMO RANIERI - Se Bruciasse la Città
248666,1256810960536383489,"""Don't be afraid to FORGIVE"" @Città del Vaticano - Basilica San Pietro di Roma https://www.instagram.com/p/B_tpQRyg0oA/?igshid=1f09aamn4roxf"
248667,1256811447264456706,"Tra l'altro sono euro sottozero altro che ecologici, per non calcare la mano non faccio il paragone con l'eccellenza (Milano) ma basta prendere 10 delle città più grandi in Italia e mi piacerebbe vedere a che livello si piazza Roma come TPL ."
248668,1256813176089346049,Bestie selvaggie che girano indisturbate..nelle nostre citta'! 
248669,1256813965050548229,ROBERTO VECCHIONI - La citta´ senza donne
248670,1256814351568105472,-Eno Bening -Cania Citta -Aurelia Vizal -Izzy VNGNC -Sabda PS
248671,1256814672608559104,Scafati. Bomba nel cuore della notte sveglia la città https://www.agro24.it/2020/05/scafati-bomba-nel-cuore-della-notte-sveglia-la-citta/ di @Agro 24
248672,1256817485669695488,L'incidente è avvenuto intorno alle 7:41 locali (le 00:41 in Italia) al confine centrale della città di Cheorwon #KimJongUn #Korea
248673,1256818577312710656,"Non vale! Mi piacciono entrambe.Verona è stupenda,è la mia città. Caorle è bella e ha il mare!"
248674,1256819559614623744,La fase 2 al via tra regioni blindate e città di confine https://www.agi.it/cronaca/news/2020-05-03/fase-2-regioni-spostamenti-8499849/
248675,1256819779916181505,"A #Vicenza 2 maggio, città affollata senza minimo di #distanziamento. Fare un po' quel cazzo che pare, perché prima non si aveva certo paura di contagiare ma solo di contagiarsi. Ora tutti contro il padre padrone stato cattivone, e chissenefotte delle misure di sicurezza."
248676,1256820050310434817,Le città devono sviluppare una nuova relazione con la natura e mettere al centro delle politiche urbane la salute umana. A @urbanpromourbit abbiamo parlato con @lorenzabaroncel e Andrea Murari del #GreenNewDeal e stiamo continuando a farlo: stay tuned!
248677,1256820310806089730,#La fase 2 al via tra regioni blindate e città di confine 
248678,1256820691694956549,Ti assicuro che dentro la città ieri era piena di auto e gente Mia moglie esce perché assiste una signora anziana . Si trovata una situazione incredibile.
248679,1256820959522193410,SAN GIORGIO-LUNEDÌ FLASH MOB DEI COMMERCIANTI DAI BALCONI DELLA CITTÀ DIMOSTRIAMO COME SEMPRE CHE SIAMO UNA GRANDE COMUNITÀ https://sinapsinews.info/2020/05/03/san-giorgio-lunedi-flash-mob-dei-commercianti-dai-balconi-della-citta-dimostriamo-come-sempre-che-siamo-una-grande-comunita/
248680,1256821418999848960,"Milano faceva sentire insicuri anche chi ci è nato o cresciuto. Ma è il pregio delle grandi città, scoprire che niente è scontato."
248681,1256821549572726784,"Cagliari, Città di Mare https://www.nauticareport.it/dettnews/turismo_e_ormeggi/cagliari_citt_di_mare-18-4158/ #Cagliari #Sardegna #arte #storia #cultura #mare #spiagge #turismo"
248682,1256823066186874880,"Dove andate questa Estate? A meno di tre ore dalle grandi città del nord, #lafrancescaresort (area #Cinqueterre è lo spazio ideale, ""distanziato e sicuro”, per una vacanza all'aria aperta. A chi prenota a maggio soggiorni scontati https://www.lafrancescaresort.it/news/Dove-andare-in-vacanza-al-mare-questa-Estate"
248683,1256823296231866370,“Unico sito archeologico dotato di vita” (UNESCO 2013) la città avrà bisogno di un aiuto per capire come ripensarne le funzioni perché l’overtourism è finito per un bel pezzo (per fortuna) ed è in ginocchio...
248684,1256823618899714048,Lo straccio blu ci deve sempre essere per forza? Oppure l'inquadratura può essere limitata alla bandiera della città e al massimo a quella dello stato? Schiavitù blu. Io no.
248685,1256824016226131968,"Gli scavi di Cripta Balbi, via delle Botteghe Oscure.. Vedi i vari strati della città nel tempo e quando ti portano fuori dall'altra parte: Sorpresa! #twitarcheology #Roma"
